Data,Description,Valor,Transaction Type,Categoria,Account Name,Month,Tipo,Valor_Absoluto,Ano_Mes
2018-01-01,Amazon,11.11,debit,Shopping,Platinum Card,2018-01,Entrada,11.11,2018-01
2018-01-02,Mortgage Payment,1247.44,debit,Mortgage & Rent,Checking,2018-01,Entrada,1247.44,2018-01
2018-01-02,Thai Restaurant,24.22,debit,Restaurants,Silver Card,2018-01,Entrada,24.22,2018-01
2018-01-03,Credit Card Payment,2298.09,credit,Credit Card Payment,Platinum Card,2018-01,Entrada,2298.09,2018-01
2018-01-04,Netflix,11.76,debit,Movies & Dvds,Platinum Card,2018-01,Entrada,11.76,2018-01
2018-01-05,American Tavern,25.85,debit,Restaurants,Silver Card,2018-01,Entrada,25.85,2018-01
2018-01-06,Hardware Store,18.45,debit,Home Improvement,Silver Card,2018-01,Entrada,18.45,2018-01
2018-01-08,Gas Company,45.0,debit,Utilities,Checking,2018-01,Entrada,45.0,2018-01
2018-01-08,Hardware Store,15.38,debit,Home Improvement,Silver Card,2018-01,Entrada,15.38,2018-01
2018-01-09,Spotify,10.69,debit,Music,Platinum Card,2018-01,Entrada,10.69,2018-01
2018-01-10,Phone Company,89.46,debit,Mobile Phone,Checking,2018-01,Entrada,89.46,2018-01
2018-01-11,Shell,34.87,debit,Gas & Fuel,Platinum Card,2018-01,Entrada,34.87,2018-01
2018-01-11,Grocery Store,43.54,debit,Groceries,Platinum Card,2018-01,Entrada,43.54,2018-01
2018-01-12,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-01,Entrada,2000.0,2018-01
2018-01-13,Pizza Place,32.91,debit,Fast Food,Platinum Card,2018-01,Entrada,32.91,2018-01
2018-01-13,Amazon,39.05,debit,Shopping,Platinum Card,2018-01,Entrada,39.05,2018-01
2018-01-15,Grocery Store,44.19,debit,Groceries,Silver Card,2018-01,Entrada,44.19,2018-01
2018-01-15,American Tavern,64.11,debit,Restaurants,Silver Card,2018-01,Entrada,64.11,2018-01
2018-01-16,City Water Charges,35.0,debit,Utilities,Checking,2018-01,Entrada,35.0,2018-01
2018-01-16,Power Company,60.0,debit,Utilities,Checking,2018-01,Entrada,60.0,2018-01
2018-01-19,Biweekly Paycheck,2000.0,credit,Paycheck,Checking,2018-01,Entrada,2000.0,2018-01
2018-01-20,Amazon,50.21,debit,Shopping,Platinum Card,2018-01,Entrada,50.21,2018-01
